"Entity1_id","numChemical","Ensembl.Id","Symbol"
"PA267",149,"ENSG00000085563","ABCB1"
"PA128",100,"ENSG00000100197","CYP2D6"
"PA130",93,"ENSG00000160868","CYP3A4"
"PA378",91,"ENSG00000144852","NR1I2"
"PA131",82,"ENSG00000106258","CYP3A5"
"PA126",60,"ENSG00000138109","CYP2C9"
"PA124",58,"ENSG00000165841","CYP2C19"
"PA27093",49,"ENSG00000140505","CYP1A2"
"PA134865839",47,"ENSG00000134538","SLCO1B1"
"PA28469",47,"ENSG00000160211","G6PD"
"PA390",47,"ENSG00000118777","ABCG2"
"PA125",36,"ENSG00000138115","CYP2C8"
"PA35072",36,"ENSG00000196126","HLA-DRB1"
"PA123",33,"ENSG00000197408","CYP2B6"
"PA117",30,"ENSG00000093010","COMT"
"PA420",28,"ENSG00000241635","UGT1A1"
"PA116",27,"ENSG00000023839","ABCC2"
"PA254",26,"ENSG00000164867","NOS3"
"PA35056",26,"ENSG00000234745","HLA-B"
"PA245",25,"ENSG00000177000","MTHFR"
"PA156",24,"ENSG00000091831","ESR1"
"PA35844",23,"ENSG00000111700,ENSG00000257046","SLCO1B3"
"PA139",22,"ENSG00000159640","ACE"
"PA419",22,"ENSG00000241119","UGT1A9"
"PA7360",22,"ENSG00000146648","EGFR"
"PA37301",21,"ENSG00000111424","VDR"
"PA27114",20,"","CYP3A"
"PA27478",20,"ENSG00000149295","DRD2"
"PA361",20,"ENSG00000171234","UGT2B7"
"PA27886",19,"ENSG00000140009","ESR2"
"PA37178",19,"ENSG00000243135","UGT1A3"
"PA121",18,"ENSG00000198077,ENSG00000255974","CYP2A6"
"PA134952671",18,"ENSG00000197110","IFNL3"
"PA176",18,"ENSG00000111664","GNB3"
"PA18",18,"ENSG00000156006","NAT2"
"PA293",18,"ENSG00000073756","PTGS2"
"PA134956204",17,"ENSG00000176912","C18orf56"
"PA182",17,"ENSG00000134184","GSTM1"
"PA397",17,"ENSG00000125257","ABCC4"
"PA266",16,"ENSG00000082175","PGR"
"PA27844",16,"ENSG00000141736","ERBB2"
"PA31945",16,"ENSG00000112038","OPRM1"
"PA327",16,"ENSG00000173638","SLC19A1"
"PA35055",16,"ENSG00000206503","HLA-A"
"PA359",16,"ENSG00000176890","TYMS"
"PA129",15,"ENSG00000130649","CYP2E1"
"PA27091",15,"ENSG00000137869","CYP19A1"
"PA36017",15,"ENSG00000112096","SOD2"
"PA166049147",14,"","IFNL4"
"PA27092",14,"ENSG00000140465","CYP1A1"
"PA329",14,"ENSG00000175003","SLC22A1"
"PA35057",14,"ENSG00000204525","HLA-C"
"PA28586",13,"ENSG00000107485","GATA3"
"PA29808",13,"ENSG00000125538","IL1B"
"PA30086",13,"ENSG00000128052","KDR"
"PA31891",13,"ENSG00000176697","BDNF"
"PA34896",13,"ENSG00000196218","RYR1"
"PA35068",13,"ENSG00000179344","HLA-DQB1"
"PA37181",13,"ENSG00000167165","UGT1A6"
"PA37302",13,"ENSG00000112715","VEGFA"
"PA39",13,"ENSG00000169252","ADRB2"
"PA85",13,"ENSG00000081248","CACNA1S"
"PA244",12,"ENSG00000103222","ABCC1"
"PA27112",12,"ENSG00000134716","CYP2J2"
"PA37179",12,"ENSG00000244474","UGT1A4"
"PA37183",12,"ENSG00000242366","UGT1A8"
"PA134884097",11,"ENSG00000029725","RABEP1"
"PA145148084",11,"ENSG00000178188","SH2B1"
"PA192",11,"ENSG00000178394","HTR1A"
"PA24413",11,"ENSG00000097007","ABL1"
"PA25321",11,"ENSG00000186716","BCR"
"PA29028",11,"ENSG00000084207","GSTP1"
"PA312",11,"ENSG00000108576","SLC6A4"
"PA35",11,"ENSG00000150594","ADRA2A"
"PA37174",11,"ENSG00000242515","UGT1A10"
"PA435",11,"ENSG00000204490,ENSG00000206439,ENSG00000223952,ENSG00000228321,ENSG00000228849,ENSG00000230108,ENSG00000232810","TNF"
"PA142671259",10,"ENSG00000198929,ENSG00000251671","NOS1AP"
"PA165585763",10,"","LINC00251"
"PA198",10,"ENSG00000136244","IL6"
"PA212",10,"ENSG00000055118","KCNH2"
"PA25384",10,"ENSG00000101144","BMP7"
"PA25408",10,"ENSG00000157764","BRAF"
"PA25724",10,"ENSG00000101134","DOK5"
"PA37182",10,"ENSG00000244122","UGT1A7"
"PA376",10,"ENSG00000108846","ABCC3"
"PA43",10,"ENSG00000144891","AGTR1"
"PA136",9,"ENSG00000123454","DBH"
"PA154",9,"ENSG00000112759","SLC29A1"
"PA193",9,"ENSG00000102468","HTR2A"
"PA227",9,"ENSG00000130164","LDLR"
"PA27955",9,"ENSG00000117480","FAAH"
"PA29561",9,"ENSG00000148680","HTR7"
"PA30676",9,"ENSG00000166603","MC4R"
"PA31768",9,"ENSG00000213281","NRAS"
"PA37",9,"ENSG00000184160","ADRA2C"
"PA37404",9,"ENSG00000158125","XDH"
"PA42",9,"ENSG00000135744","AGT"
"PA83",9,"ENSG00000151067","CACNA1C"
"PA107",8,"ENSG00000198848","CES1"
"PA109",8,"ENSG00000001626","CFTR"
"PA134872551",8,"ENSG00000170209","ANKK1"
"PA142671588",8,"ENSG00000104892","KLC3"
"PA159",8,"ENSG00000198734","F5"
"PA165696875",8,"","MIR4268"
"PA165751627",8,"","MIR3117"
"PA25090",8,"ENSG00000169136","ATF5"
"PA27075",8,"ENSG00000051523","CYBA"
"PA27479",8,"ENSG00000151577","DRD3"
"PA28065",8,"ENSG00000203747","FCGR3A"
"PA28162",8,"ENSG00000096060","FKBP5"
"PA29549",8,"ENSG00000135312","HTR1B"
"PA30592",8,"ENSG00000095015","MAP3K1"
"PA31272",8,"ENSG00000116984","MTR"
"PA31744",8,"ENSG00000181019","NQO1"
"PA33148",8,"ENSG00000113721","PDGFRB"
"PA34",8,"ENSG00000120907","ADRA1A"
"PA356",8,"ENSG00000137364","TPMT"
"PA35845",8,"ENSG00000137491","SLCO2B1"
"PA38",8,"ENSG00000043591","ADRB1"
"PA389",8,"ENSG00000149452","SLC22A8"
"PA395",8,"ENSG00000114770","ABCC5"
"PA55",8,"ENSG00000130203","APOE"
"PA134935907",7,"ENSG00000197619,ENSG00000256087","ZNF432"
"PA152208656",7,"ENSG00000140718","FTO"
"PA180",7,"ENSG00000198873","GRK5"
"PA24373",7,"ENSG00000165029","ABCA1"
"PA24597",7,"ENSG00000171873","ADRA1D"
"PA27006",7,"ENSG00000163599","CTLA4"
"PA27331",7,"ENSG00000100243","CYB5R3"
"PA27832",7,"ENSG00000112425","EPM2A"
"PA29802",7,"ENSG00000150782","IL18"
"PA29841",7,"ENSG00000169429","CXCL8"
"PA306",7,"ENSG00000168447","SCNN1B"
"PA33",7,"ENSG00000170214","ADRA1B"
"PA33532",7,"ENSG00000127948","POR"
"PA35066",7,"ENSG00000196735","HLA-DQA1"
"PA35602",7,"ENSG00000107562","CXCL12"
"PA36601",7,"ENSG00000141655","TNFRSF11A"
"PA36679",7,"ENSG00000141510","TP53"
"PA37180",7,"ENSG00000240224","UGT1A5"
"PA37188",7,"ENSG00000196620","UGT2B15"
"PA374",7,"ENSG00000073734","ABCB11"
"PA38592",7,"ENSG00000100344","PNPLA3"
"PA388",7,"ENSG00000197901","SLC22A6"
"PA426",7,"ENSG00000197506","SLC28A3"
"PA427",7,"ENSG00000021461","CYP3A43"
"PA134904907",6,"ENSG00000065615","CYB5R4"
"PA134979668",6,"ENSG00000159348","CYB5R1"
"PA142672060",6,"ENSG00000166394","CYB5R2"
"PA147",6,"ENSG00000184845","DRD1"
"PA166",6,"ENSG00000007933","FMO3"
"PA189",6,"ENSG00000113161","HMGCR"
"PA211",6,"ENSG00000180509","KCNE1"
"PA223",6,"ENSG00000053918","KCNQ1"
"PA24346",6,"ENSG00000095303","PTGS1"
"PA24570",6,"ENSG00000187758","ADH1A"
"PA24692",6,"ENSG00000165092","ALDH1A1"
"PA24719",6,"ENSG00000171094","ALK"
"PA25128",6,"ENSG00000124172","ATP5F1E"
"PA271",6,"ENSG00000116711","PLA2G4A"
"PA27846",6,"ENSG00000065361","ERBB3"
"PA280",6,"ENSG00000186951","PPARA"
"PA281",6,"ENSG00000132170","PPARG"
"PA28180",6,"ENSG00000102755","FLT1"
"PA28529",6,"ENSG00000069482","GAL"
"PA28725",6,"ENSG00000112164","GLP1R"
"PA28980",6,"ENSG00000150086","GRIN2B"
"PA301",6,"ENSG00000144285","SCN1A"
"PA30167",6,"ENSG00000134539","KLRD1"
"PA30196",6,"ENSG00000133703","KRAS"
"PA307",6,"ENSG00000166828","SCNN1G"
"PA31274",6,"","MT-RNR1"
"PA331",6,"ENSG00000112499","SLC22A2"
"PA33308",6,"ENSG00000121879","PIK3CA"
"PA34183",6,"ENSG00000132155","RAF1"
"PA34199",6,"ENSG00000017797","RALBP1"
"PA350",6,"ENSG00000105329","TGFB1"
"PA35081",6,"ENSG00000204592,ENSG00000225201,ENSG00000236632","HLA-E"
"PA36",6,"ENSG00000222040","ADRA2B"
"PA36394",6,"ENSG00000148737","TCF7L2"
"PA37422",6,"ENSG00000126215","XRCC3"
"PA386",6,"ENSG00000137860","SLC28A2"
