importance (shuffled_loss - orig_loss),feature,disease
0.024728148039368104,days_to_birth,Colon Adenocarcinoma
0.004144279285019458,ENSG00000172716_exp,Colon Adenocarcinoma
0.0033181795158912565,ENSG00000151834_exp,Colon Adenocarcinoma
0.003316758951813892,ENSG00000175344_exp,Colon Adenocarcinoma
0.0031357311484805916,ENSG00000105329_exp,Colon Adenocarcinoma
0.003114419253574163,ENSG00000111700_exp,Colon Adenocarcinoma
0.002872704866538495,ENSG00000186038_exp,Colon Adenocarcinoma
0.0028516506620474167,ENSG00000163623_exp,Colon Adenocarcinoma
0.002787911219142336,ENSG00000007171_exp,Colon Adenocarcinoma
0.0025857146767070903,ENSG00000170367_exp,Colon Adenocarcinoma
0.0024740053808011307,ENSG00000141736_exp,Colon Adenocarcinoma
0.002395473709672591,ENSG00000107984_exp,Colon Adenocarcinoma
0.002319409830315067,ENSG00000156113_exp,Colon Adenocarcinoma
0.0021300122590367843,ENSG00000204540_exp,Colon Adenocarcinoma
0.0021281520160145615,ENSG00000069431_exp,Colon Adenocarcinoma
0.002108110512379413,ENSG00000187800_exp,Colon Adenocarcinoma
0.002057414698760246,ENSG00000104687_exp,Colon Adenocarcinoma
0.0020401008153041354,ENSG00000126934_exp,Colon Adenocarcinoma
0.0020118422432488237,ENSG00000211445_exp,Colon Adenocarcinoma
0.0018904021900633117,ENSG00000072694_exp,Colon Adenocarcinoma
0.0018713620942970687,ENSG00000203747_exp,Colon Adenocarcinoma
0.0018648319021116633,ENSG00000122420_exp,Colon Adenocarcinoma
0.0018547448376349473,ENSG00000100577_exp,Colon Adenocarcinoma
0.0018490400651226813,ENSG00000175206_exp,Colon Adenocarcinoma
0.001836937107768749,ENSG00000113520_exp,Colon Adenocarcinoma
0.0018198321993932898,ENSG00000111275_exp,Colon Adenocarcinoma
0.001817709656064731,ENSG00000221944_exp,Colon Adenocarcinoma
0.0018162518440680397,ENSG00000100504_exp,Colon Adenocarcinoma
0.0018093753568703408,ENSG00000203857_exp,Colon Adenocarcinoma
0.0018002107041735326,ENSG00000164638_exp,Colon Adenocarcinoma
0.001765357620739999,ENSG00000160013_exp,Colon Adenocarcinoma
0.0017161878355370919,ENSG00000106689_exp,Colon Adenocarcinoma
0.0017155329818310861,ENSG00000198517_exp,Colon Adenocarcinoma
0.0016972429277905044,ENSG00000166394_exp,Colon Adenocarcinoma
0.0016706066486428916,ENSG00000158516_exp,Colon Adenocarcinoma
0.0016696587653463103,ENSG00000103044_exp,Colon Adenocarcinoma
0.0016527832800329433,ENSG00000180767_exp,Colon Adenocarcinoma
0.0015853358251992633,ENSG00000162992_exp,Colon Adenocarcinoma
0.0015617893541537032,ENSG00000166035_exp,Colon Adenocarcinoma
0.001544539326409433,ENSG00000184156_exp,Colon Adenocarcinoma
0.0014880553087263325,ENSG00000134184_exp,Colon Adenocarcinoma
0.0014729227509387099,ENSG00000137267_exp,Colon Adenocarcinoma
0.0014636142895771808,ENSG00000049768_exp,Colon Adenocarcinoma
0.0014401275976047069,ENSG00000205362_exp,Colon Adenocarcinoma
0.0014333331315812491,ENSG00000104728_exp,Colon Adenocarcinoma
0.0014110633112913939,ENSG00000186660_exp,Colon Adenocarcinoma
0.001409201174476088,ENSG00000159339_exp,Colon Adenocarcinoma
0.0013843430274705193,ENSG00000172057_exp,Colon Adenocarcinoma
0.001381474479185707,ENSG00000213809_exp,Colon Adenocarcinoma
0.001367153252247566,ENSG00000181072_exp,Colon Adenocarcinoma
0.0013663972351064535,ENSG00000212719_exp,Colon Adenocarcinoma
0.0013498471084247177,ENSG00000170558_exp,Colon Adenocarcinoma
0.0013455393422008687,ENSG00000113161_exp,Colon Adenocarcinoma
0.0013437608163492432,ENSG00000165970_exp,Colon Adenocarcinoma
0.001340011778882516,ENSG00000149534_exp,Colon Adenocarcinoma
0.001333871224652189,ENSG00000164742_exp,Colon Adenocarcinoma
0.0013265130661403058,ENSG00000136868_exp,Colon Adenocarcinoma
0.0013243304895716845,ENSG00000157388_exp,Colon Adenocarcinoma
0.0013161807654294643,ENSG00000160963_exp,Colon Adenocarcinoma
0.0013061572377099872,ENSG00000002822_exp,Colon Adenocarcinoma
0.0013043850610487406,ENSG00000168646_exp,Colon Adenocarcinoma
0.0012989645568423358,ENSG00000121417_exp,Colon Adenocarcinoma
0.0012954356279660296,ENSG00000161653_exp,Colon Adenocarcinoma
0.0012796786118510818,ENSG00000186716_exp,Colon Adenocarcinoma
0.0012697562525503692,ENSG00000183354_exp,Colon Adenocarcinoma
0.0012608408130530824,ENSG00000151327_exp,Colon Adenocarcinoma
0.001252510381183497,ENSG00000151067_exp,Colon Adenocarcinoma
0.0012503406275873596,ENSG00000095002_exp,Colon Adenocarcinoma
0.0012501690549196643,ENSG00000141428_exp,Colon Adenocarcinoma
0.00124951025415026,ENSG00000042493_exp,Colon Adenocarcinoma
0.0012450626213415083,ENSG00000187486_exp,Colon Adenocarcinoma
0.0012440588412476084,ENSG00000167535_exp,Colon Adenocarcinoma
0.0012385136656537787,ENSG00000166340_exp,Colon Adenocarcinoma
0.00122854236176978,AXIN2_mut,Colon Adenocarcinoma
0.0012245727621990666,ENSG00000121853_exp,Colon Adenocarcinoma
0.001223078066090655,ENSG00000106366_exp,Colon Adenocarcinoma
0.0012189164458708546,ENSG00000111664_exp,Colon Adenocarcinoma
0.0012143297986840884,ENSG00000011052_exp,Colon Adenocarcinoma
0.0012088776083295561,ENSG00000151006_exp,Colon Adenocarcinoma
0.0012065495635354695,ENSG00000100365_exp,Colon Adenocarcinoma
0.001204293243661786,ENSG00000185386_exp,Colon Adenocarcinoma
0.0011956516566085317,ENSG00000196296_exp,Colon Adenocarcinoma
0.0011843853471271315,ENSG00000048052_exp,Colon Adenocarcinoma
0.0011824283711487748,ENSG00000214435_exp,Colon Adenocarcinoma
0.001180939819900495,ENSG00000007314_exp,Colon Adenocarcinoma
0.0011709997885203216,ENSG00000164128_exp,Colon Adenocarcinoma
0.0011705217702333015,ENSG00000198626_exp,Colon Adenocarcinoma
0.001169616756431241,ENSG00000173198_exp,Colon Adenocarcinoma
0.001162032503946181,ENSG00000157168_exp,Colon Adenocarcinoma
0.0011584525273795165,ENSG00000215474_exp,Colon Adenocarcinoma
0.0011491996737626963,ENSG00000171564_exp,Colon Adenocarcinoma
0.0011447188945916897,ENSG00000170430_exp,Colon Adenocarcinoma
0.0011408442787103346,ENSG00000149256_exp,Colon Adenocarcinoma
0.0011374228524922481,ENSG00000140443_exp,Colon Adenocarcinoma
0.0011342617032121193,ENSG00000234745_exp,Colon Adenocarcinoma
0.0011311049644763705,ENSG00000165646_exp,Colon Adenocarcinoma
0.0011291942419017042,ENSG00000132874_exp,Colon Adenocarcinoma
0.0011289632340338695,ENSG00000118785_exp,Colon Adenocarcinoma
0.0011136698732806816,ENSG00000163517_exp,Colon Adenocarcinoma
0.0011070085558604393,ENSG00000173610_exp,Colon Adenocarcinoma
0.0010817337295283447,ENSG00000179242_exp,Colon Adenocarcinoma
0.0010813985929441217,ENSG00000144339_exp,Colon Adenocarcinoma
0.0010754121236976443,ENSG00000105976_exp,Colon Adenocarcinoma
0.001074131231842229,ENSG00000134240_exp,Colon Adenocarcinoma
0.0010721618864049764,ENSG00000178965_exp,Colon Adenocarcinoma
0.0010583089596053253,ENSG00000164362_exp,Colon Adenocarcinoma
0.0010576895547152354,ENSG00000105609_exp,Colon Adenocarcinoma
0.0010554572361767488,ENSG00000241119_exp,Colon Adenocarcinoma
0.0010423676126378345,ENSG00000196689_exp,Colon Adenocarcinoma
0.0010422277410692183,ENSG00000134352_exp,Colon Adenocarcinoma
0.0010415402144492714,ENSG00000080224_exp,Colon Adenocarcinoma
0.0010399800479212796,ENSG00000189306_exp,Colon Adenocarcinoma
0.0010383244591413376,ENSG00000151376_exp,Colon Adenocarcinoma
0.0010348016053537633,ENSG00000067191_exp,Colon Adenocarcinoma
0.0010302121374120843,ENSG00000155093_exp,Colon Adenocarcinoma
0.0010261201240545804,ENSG00000113119_exp,Colon Adenocarcinoma
0.0010252903486573871,ENSG00000164761_exp,Colon Adenocarcinoma
0.0010211817795616363,ENSG00000110328_exp,Colon Adenocarcinoma
0.0010184267990565154,ENSG00000151065_exp,Colon Adenocarcinoma
0.0010149873568860157,ENSG00000136158_exp,Colon Adenocarcinoma
0.0010121178218353455,ENSG00000015520_exp,Colon Adenocarcinoma
0.0010043242005600083,ENSG00000165704_exp,Colon Adenocarcinoma
0.0010035233702946733,ENSG00000153037_exp,Colon Adenocarcinoma
0.0009937364919528403,ENSG00000141639_exp,Colon Adenocarcinoma
0.0009912717850710407,ENSG00000180720_exp,Colon Adenocarcinoma
0.0009912449829155956,ENSG00000151789_exp,Colon Adenocarcinoma
0.0009905481468076294,ENSG00000197446_exp,Colon Adenocarcinoma
0.0009896485452667747,ENSG00000100346_exp,Colon Adenocarcinoma
0.000989226737748017,ENSG00000177000_exp,Colon Adenocarcinoma
0.0009886873605658153,CHL1_mut,Colon Adenocarcinoma
0.000979741744971191,ENSG00000111424_exp,Colon Adenocarcinoma
0.0009789828024181712,ENSG00000197888_exp,Colon Adenocarcinoma
0.0009774636664119374,ENSG00000109321_exp,Colon Adenocarcinoma
0.000976959419091028,ENSG00000042088_exp,Colon Adenocarcinoma
0.0009695399565043006,ENSG00000151062_exp,Colon Adenocarcinoma
0.0009692309044276648,ENSG00000140464_exp,Colon Adenocarcinoma
0.0009691960985046433,ENSG00000156006_exp,Colon Adenocarcinoma
0.0009669692171457245,ENSG00000197272_exp,Colon Adenocarcinoma
0.0009623753536106338,ENSG00000137364_exp,Colon Adenocarcinoma
0.0009548891597368214,ENSG00000132437_exp,Colon Adenocarcinoma
0.0009545795245712863,ENSG00000159348_exp,Colon Adenocarcinoma
0.0009545182105290984,ENSG00000143627_exp,Colon Adenocarcinoma
0.0009525796342454207,ENSG00000213648_exp,Colon Adenocarcinoma
