Drug,Disease,LossDiff
(R)-methadone,Kidney Renal Papillary Cell Carcinoma,0.0003920508173910431
(R)-methadone,Thyroid Carcinoma,0.00033250938762317654
(R)-methadone,Liver Hepatocellular Carcinoma,-0.00010448146609680631
(R)-methadone,Breast Invasive Carcinoma,0.00039244598429388213
(R)-methadone,Prostate Adenocarcinoma,1.3369304392628497e-05
(R)-methadone,Bladder Urothelial Carcinoma,0.000826035428171723
(R)-methadone,Stomach Adenocarcinoma,0.0012549011204249893
(R)-methadone,Lung Squamous Cell Carcinoma,0.0006723847143096151
(R)-methadone,Ovarian Serous Cystadenocarcinoma,0.00017188934544429824
(R)-methadone,Brain Lower Grade Glioma,0.0005069138559308684
(R)-methadone,Skin Cutaneous Melanoma,0.000764661184125992
(R)-methadone,Lung Adenocarcinoma,0.0009692726136721119
(R)-methadone,Kidney Renal Clear Cell Carcinoma,0.0019543306988019206
(R)-methadone,Colon Adenocarcinoma,0.0015208332434944404
(R)-methadone,Uterine Corpus Endometrial Carcinoma,0.0008778884540129372
(R)-methadone,Head and Neck Squamous Cell Carcinoma,0.0009699468685285706
(R)-methadone,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,-4.736157980830824e-06
(S)-EDDP,Kidney Renal Papillary Cell Carcinoma,0.0003138780374756844
(S)-EDDP,Thyroid Carcinoma,0.00020545137707482579
(S)-EDDP,Liver Hepatocellular Carcinoma,-0.0006722849287658095
(S)-EDDP,Breast Invasive Carcinoma,0.0004600458423373643
(S)-EDDP,Prostate Adenocarcinoma,8.77271363094364e-05
(S)-EDDP,Bladder Urothelial Carcinoma,0.00041202543130093306
(S)-EDDP,Stomach Adenocarcinoma,0.0015008470741093905
(S)-EDDP,Lung Squamous Cell Carcinoma,0.00012573149702652665
(S)-EDDP,Ovarian Serous Cystadenocarcinoma,0.0007676815962910144
(S)-EDDP,Brain Lower Grade Glioma,0.0014175974477761866
(S)-EDDP,Skin Cutaneous Melanoma,0.0008916887909009574
(S)-EDDP,Lung Adenocarcinoma,0.00014364020240460463
(S)-EDDP,Kidney Renal Clear Cell Carcinoma,0.0010425816189784
(S)-EDDP,Colon Adenocarcinoma,0.0013928468012092076
(S)-EDDP,Uterine Corpus Endometrial Carcinoma,-0.00030854574619661456
(S)-EDDP,Head and Neck Squamous Cell Carcinoma,0.0005997991803938785
(S)-EDDP,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.0010143928907134364
(S)-methadone,Kidney Renal Papillary Cell Carcinoma,0.000873104236648442
(S)-methadone,Thyroid Carcinoma,0.00034519347616217136
(S)-methadone,Liver Hepatocellular Carcinoma,-6.406711455954061e-05
(S)-methadone,Breast Invasive Carcinoma,0.000484096048028354
(S)-methadone,Prostate Adenocarcinoma,9.839795657072287e-06
(S)-methadone,Bladder Urothelial Carcinoma,0.0009426298260281629
(S)-methadone,Stomach Adenocarcinoma,0.0015172247832956232
(S)-methadone,Lung Squamous Cell Carcinoma,0.0010469590032633036
(S)-methadone,Ovarian Serous Cystadenocarcinoma,0.0010201111409201546
(S)-methadone,Brain Lower Grade Glioma,0.00023507344971009924
(S)-methadone,Skin Cutaneous Melanoma,0.001503349825234812
(S)-methadone,Lung Adenocarcinoma,0.001695376396527204
(S)-methadone,Kidney Renal Clear Cell Carcinoma,0.0024077352079061253
(S)-methadone,Colon Adenocarcinoma,0.0020442901496903255
(S)-methadone,Uterine Corpus Endometrial Carcinoma,0.0007642999972366116
(S)-methadone,Head and Neck Squamous Cell Carcinoma,0.00022945124183204602
(S)-methadone,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.0005130418593233376
"1,7-dimethylxanthine",Kidney Renal Papillary Cell Carcinoma,0.0005438930363014683
"1,7-dimethylxanthine",Thyroid Carcinoma,-9.561824527654015e-05
"1,7-dimethylxanthine",Liver Hepatocellular Carcinoma,0.0016942639679573546
"1,7-dimethylxanthine",Breast Invasive Carcinoma,0.00014373763790329064
"1,7-dimethylxanthine",Prostate Adenocarcinoma,5.289274522311835e-05
"1,7-dimethylxanthine",Bladder Urothelial Carcinoma,0.00013003101867679057
"1,7-dimethylxanthine",Stomach Adenocarcinoma,0.0002051673334692583
"1,7-dimethylxanthine",Lung Squamous Cell Carcinoma,0.00026072746587140204
"1,7-dimethylxanthine",Ovarian Serous Cystadenocarcinoma,0.00029721600024854575
"1,7-dimethylxanthine",Brain Lower Grade Glioma,0.0002178428480623884
"1,7-dimethylxanthine",Skin Cutaneous Melanoma,0.0005047529789288463
"1,7-dimethylxanthine",Lung Adenocarcinoma,0.0010383532756678359
"1,7-dimethylxanthine",Kidney Renal Clear Cell Carcinoma,0.0007846721720236816
"1,7-dimethylxanthine",Colon Adenocarcinoma,0.0019204316131247235
"1,7-dimethylxanthine",Uterine Corpus Endometrial Carcinoma,0.0004776694166026274
