fold,disease,loss
0,Liver Hepatocellular Carcinoma,1.0228844629207128
0,Lung Squamous Cell Carcinoma,1.8561409711837769
0,Lung Adenocarcinoma,1.1494453350702922
0,Brain Lower Grade Glioma,0.7475005145539942
0,Kidney Renal Clear Cell Carcinoma,1.160047039618859
0,Head and Neck Squamous Cell Carcinoma,1.5398533079359267
0,Thyroid Carcinoma,0.3723618774251504
0,Breast Invasive Carcinoma,0.6275327767013873
0,Bladder Urothelial Carcinoma,1.515956582902353
0,Kidney Renal Papillary Cell Carcinoma,0.5258804714238202
0,Colon Adenocarcinoma,1.111078462600708
0,Stomach Adenocarcinoma,1.7551566853242762
0,Uterine Corpus Endometrial Carcinoma,0.8636266958145868
0,Skin Cutaneous Melanoma,2.8504995885102646
0,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.9211317471095494
0,Prostate Adenocarcinoma,0.29574977185415185
0,Ovarian Serous Cystadenocarcinoma,2.2073019509221994
1,Liver Hepatocellular Carcinoma,1.1164927583345226
1,Lung Squamous Cell Carcinoma,1.8202731609344482
1,Lung Adenocarcinoma,1.4107781558768036
1,Brain Lower Grade Glioma,0.8776751975623929
1,Kidney Renal Clear Cell Carcinoma,0.9210970202317604
1,Head and Neck Squamous Cell Carcinoma,1.5016584327124587
1,Thyroid Carcinoma,0.22236763482744043
1,Breast Invasive Carcinoma,0.7789093558750455
1,Bladder Urothelial Carcinoma,1.6381907340807793
1,Kidney Renal Papillary Cell Carcinoma,0.8148376075726635
1,Colon Adenocarcinoma,1.4674389123916627
1,Stomach Adenocarcinoma,1.0698233912972843
1,Uterine Corpus Endometrial Carcinoma,0.9052148228599912
1,Skin Cutaneous Melanoma,1.9619391528508996
1,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.8620112112590245
1,Prostate Adenocarcinoma,0.20435271574103314
1,Ovarian Serous Cystadenocarcinoma,1.6780292473587335
2,Liver Hepatocellular Carcinoma,1.2095104019406815
2,Lung Squamous Cell Carcinoma,1.8768566307268644
2,Lung Adenocarcinoma,1.263262769790611
2,Brain Lower Grade Glioma,0.7185104606077843
2,Kidney Renal Clear Cell Carcinoma,1.094845181474319
