"","V3","n","hgnc_symbol"
"1","ENSG00000000419",2,"DPM1"
"2","ENSG00000000457",1,"SCYL3"
"3","ENSG00000001084",4,"GCLC"
"4","ENSG00000001167",4,"NFYA"
"5","ENSG00000001497",2,"LAS1L"
"6","ENSG00000001617",3,"SEMA3F"
"7","ENSG00000001626",2,"CFTR"
"8","ENSG00000001630",1,"CYP51A1"
"9","ENSG00000001631",2,"KRIT1"
"10","ENSG00000002016",12,"RAD52"
"11","ENSG00000002330",11,"BAD"
"12","ENSG00000002549",1,"LAP3"
"13","ENSG00000002586",2,"CD99"
"14","ENSG00000002822",4,"MAD1L1"
"15","ENSG00000002834",12,"LASP1"
"16","ENSG00000002933",1,"TMEM176A"
"17","ENSG00000003056",1,"M6PR"
"18","ENSG00000003400",8,"CASP10"
"19","ENSG00000003402",15,"CFLAR"
"20","ENSG00000003436",8,"TFPI"
"21","ENSG00000003509",1,"NDUFAF7"
"22","ENSG00000003756",5,"RBM5"
"23","ENSG00000004142",2,"POLDIP2"
"24","ENSG00000004399",1,"PLXND1"
"25","ENSG00000004478",2,"FKBP4"
"26","ENSG00000004487",25,"KDM1A"
"27","ENSG00000004534",2,"RBM6"
"28","ENSG00000004700",12,"RECQL"
"29","ENSG00000004809",4,"SLC22A16"
"30","ENSG00000004838",1,"ZMYND10"
"31","ENSG00000004846",3,"ABCB5"
"32","ENSG00000004864",3,"SLC25A13"
"33","ENSG00000004866",5,"ST7"
"34","ENSG00000004897",8,"CDC27"
"35","ENSG00000004948",3,"CALCR"
"36","ENSG00000004975",3,"DVL2"
"37","ENSG00000005007",1,"UPF1"
"38","ENSG00000005020",1,"SKAP2"
"39","ENSG00000005022",7,"SLC25A5"
"40","ENSG00000005073",3,"HOXA11"
"41","ENSG00000005075",1,"POLR2J"
"42","ENSG00000005100",3,"DHX33"
"43","ENSG00000005102",1,"MEOX1"
"44","ENSG00000005156",4,"LIG3"
"45","ENSG00000005194",1,"CIAPIN1"
"46","ENSG00000005302",1,"MSL3"
"47","ENSG00000005339",24,"CREBBP"
"48","ENSG00000005379",1,"TSPOAP1"
"49","ENSG00000005381",15,"MPO"
"50","ENSG00000005421",12,"PON1"
"51","ENSG00000005471",1,"ABCB4"
"52","ENSG00000005483",2,"KMT2E"
"53","ENSG00000005486",4,"RHBDD2"
"54","ENSG00000005700",1,"IBTK"
"55","ENSG00000005810",1,"MYCBP2"
"56","ENSG00000005844",2,"ITGAL"
"57","ENSG00000005882",1,"PDK2"
"58","ENSG00000005884",9,"ITGA3"
"59","ENSG00000005889",1,"ZFX"
"60","ENSG00000005893",4,"LAMP2"
