"","V3","n","hgnc_symbol"
"1","ENSG00000001167",2,"NFYA"
"2","ENSG00000001497",1,"LAS1L"
"3","ENSG00000001617",2,"SEMA3F"
"4","ENSG00000001626",1,"CFTR"
"5","ENSG00000002016",3,"RAD52"
"6","ENSG00000002330",4,"BAD"
"7","ENSG00000002549",1,"LAP3"
"8","ENSG00000002586",2,"CD99"
"9","ENSG00000002834",3,"LASP1"
"10","ENSG00000003400",2,"CASP10"
"11","ENSG00000003402",10,"CFLAR"
"12","ENSG00000003756",1,"RBM5"
"13","ENSG00000004478",1,"FKBP4"
"14","ENSG00000004487",9,"KDM1A"
"15","ENSG00000004700",1,"RECQL"
"16","ENSG00000004799",1,"PDK4"
"17","ENSG00000004838",2,"ZMYND10"
"18","ENSG00000004866",1,"ST7"
"19","ENSG00000004897",3,"CDC27"
"20","ENSG00000004948",1,"CALCR"
"21","ENSG00000004975",4,"DVL2"
"22","ENSG00000005007",1,"UPF1"
"23","ENSG00000005059",1,"MCUB"
"24","ENSG00000005073",3,"HOXA11"
"25","ENSG00000005100",1,"DHX33"
"26","ENSG00000005249",1,"PRKAR2B"
"27","ENSG00000005339",5,"CREBBP"
"28","ENSG00000005381",1,"MPO"
"29","ENSG00000005421",4,"PON1"
"30","ENSG00000005483",1,"KMT2E"
"31","ENSG00000005513",1,"SOX8"
"32","ENSG00000005884",7,"ITGA3"
"33","ENSG00000005889",3,"ZFX"
"34","ENSG00000005893",1,"LAMP2"
"35","ENSG00000006062",1,"MAP3K14"
"36","ENSG00000006118",1,"TMEM132A"
"37","ENSG00000006128",3,"TAC1"
"38","ENSG00000006210",1,"CX3CL1"
"39","ENSG00000006327",9,"TNFRSF12A"
"40","ENSG00000006451",1,"RALA"
"41","ENSG00000006530",1,"AGK"
"42","ENSG00000006606",1,"CCL26"
"43","ENSG00000006625",2,"GGCT"
"44","ENSG00000006638",1,"TBXA2R"
"45","ENSG00000006652",1,"IFRD1"
"46","ENSG00000006659",1,"LGALS14"
"47","ENSG00000007047",4,"MARK4"
"48","ENSG00000007062",61,"PROM1"
"49","ENSG00000007080",1,"CCDC124"
"50","ENSG00000007171",8,"NOS2"
"51","ENSG00000007341",1,"ST7L"
"52","ENSG00000007350",2,"TKTL1"
"53","ENSG00000007372",10,"PAX6"
"54","ENSG00000007908",1,"SELE"
"55","ENSG00000007952",1,"NOX1"
"56","ENSG00000007968",5,"E2F2"
"57","ENSG00000008056",1,"SYN1"
"58","ENSG00000008083",1,"JARID2"
"59","ENSG00000008256",1,"CYTH3"
"60","ENSG00000008277",4,"ADAM22"
"61","ENSG00000008294",2,"SPAG9"
"62","ENSG00000008311",1,"AASS"
"63","ENSG00000008405",1,"CRY1"
"64","ENSG00000008441",3,"NFIX"
"65","ENSG00000008513",1,"ST3GAL1"
"66","ENSG00000008517",1,"IL32"
"67","ENSG00000008988",2,"RPS20"
"68","ENSG00000009335",1,"UBE3C"
"69","ENSG00000009413",1,"REV3L"
"70","ENSG00000009694",1,"TENM1"
"71","ENSG00000009724",1,"MASP2"
"72","ENSG00000010017",2,"RANBP9"
"73","ENSG00000010165",1,"EEF1AKNMT"
"74","ENSG00000010244",1,"ZNF207"
"75","ENSG00000010278",3,"CD9"
"76","ENSG00000010319",2,"SEMA3G"
"77","ENSG00000010671",1,"BTK"
"78","ENSG00000010704",1,"HFE"
"79","ENSG00000010810",3,"FYN"
"80","ENSG00000011028",2,"MRC2"
"81","ENSG00000011132",1,"APBA3"
"82","ENSG00000011201",1,"ANOS1"
"83","ENSG00000011304",3,"PTBP1"
"84","ENSG00000011347",1,"SYT7"
"85","ENSG00000011422",25,"PLAUR"
"86","ENSG00000011465",1,"DCN"
"87","ENSG00000011478",1,"QPCTL"
"88","ENSG00000011485",2,"PPP5C"
"89","ENSG00000012048",8,"BRCA1"
"90","ENSG00000012061",18,"ERCC1"
"91","ENSG00000012171",3,"SEMA3B"
"92","ENSG00000012779",6,"ALOX5"
"93","ENSG00000013016",3,"EHD3"
"94","ENSG00000013275",1,"PSMC4"
"95","ENSG00000013297",1,"CLDN11"
"96","ENSG00000013364",4,"MVP"
"97","ENSG00000013375",1,"PGM3"
"98","ENSG00000013441",1,"CLK1"
"99","ENSG00000013561",1,"RNF14"
"100","ENSG00000013810",4,"TACC3"
"101","ENSG00000014123",1,"UFL1"
"102","ENSG00000014257",1,"ACPP"
"103","ENSG00000014824",1,"SLC30A9"
"104","ENSG00000015171",1,"ZMYND11"
"105","ENSG00000015475",2,"BID"
"106","ENSG00000016490",1,"CLCA1"
"107","ENSG00000017427",11,"IGF1"
"108","ENSG00000017797",2,"RALBP1"
"109","ENSG00000018236",3,"CNTN1"
"110","ENSG00000018280",1,"SLC11A1"
"111","ENSG00000018408",10,"WWTR1"
"112","ENSG00000018510",3,"AGPS"
"113","ENSG00000019144",10,"PHLDB1"
"114","ENSG00000019549",4,"SNAI2"
"115","ENSG00000019582",3,"CD74"
"116","ENSG00000019991",21,"HGF"
"117","ENSG00000020633",4,"RUNX3"
"118","ENSG00000020922",2,"MRE11"
"119","ENSG00000021355",1,"SERPINB1"
"120","ENSG00000021645",1,"NRXN3"
"121","ENSG00000021826",1,"CPS1"
"122","ENSG00000021852",1,"C8B"
"123","ENSG00000022355",1,"GABRA1"
"124","ENSG00000023287",1,"RB1CC1"
"125","ENSG00000023445",6,"BIRC3"
"126","ENSG00000023839",1,"ABCC2"
"127","ENSG00000023892",1,"DEF6"
"128","ENSG00000023909",1,"GCLM"
"129","ENSG00000024422",1,"EHD2"
"130","ENSG00000024526",1,"DEPDC1"
"131","ENSG00000025293",5,"PHF20"
"132","ENSG00000025800",1,"KPNA6"
"133","ENSG00000026025",13,"VIM"
"134","ENSG00000026036",5,"RTEL1-TNFRSF6B"
