"","V3","n","hgnc_symbol"
"1","ENSG00000000003",1,"TSPAN6"
"2","ENSG00000000938",1,"FGR"
"3","ENSG00000000971",3,"CFH"
"4","ENSG00000001036",1,"FUCA2"
"5","ENSG00000001167",1,"NFYA"
"6","ENSG00000001617",2,"SEMA3F"
"7","ENSG00000001626",3,"CFTR"
"8","ENSG00000001629",1,"ANKIB1"
"9","ENSG00000002016",2,"RAD52"
"10","ENSG00000002330",11,"BAD"
"11","ENSG00000002549",1,"LAP3"
"12","ENSG00000002586",2,"CD99"
"13","ENSG00000002726",1,"AOC1"
"14","ENSG00000002745",1,"WNT16"
"15","ENSG00000002822",2,"MAD1L1"
"16","ENSG00000002834",3,"LASP1"
"17","ENSG00000003400",3,"CASP10"
"18","ENSG00000003402",13,"CFLAR"
"19","ENSG00000003436",1,"TFPI"
"20","ENSG00000003756",2,"RBM5"
"21","ENSG00000004059",1,"ARF5"
"22","ENSG00000004468",3,"CD38"
"23","ENSG00000004478",5,"FKBP4"
"24","ENSG00000004487",18,"KDM1A"
"25","ENSG00000004534",1,"RBM6"
"26","ENSG00000004846",1,"ABCB5"
"27","ENSG00000004866",4,"ST7"
"28","ENSG00000004897",5,"CDC27"
"29","ENSG00000004948",3,"CALCR"
"30","ENSG00000004975",2,"DVL2"
"31","ENSG00000005007",2,"UPF1"
"32","ENSG00000005022",2,"SLC25A5"
"33","ENSG00000005102",1,"MEOX1"
"34","ENSG00000005175",2,"RPAP3"
"35","ENSG00000005206",1,"SPPL2B"
"36","ENSG00000005249",3,"PRKAR2B"
"37","ENSG00000005339",14,"CREBBP"
"38","ENSG00000005381",10,"MPO"
"39","ENSG00000005421",7,"PON1"
"40","ENSG00000005471",1,"ABCB4"
"41","ENSG00000005810",2,"MYCBP2"
"42","ENSG00000005812",1,"FBXL3"
"43","ENSG00000005884",6,"ITGA3"
"44","ENSG00000005889",2,"ZFX"
"45","ENSG00000005893",3,"LAMP2"
"46","ENSG00000005961",1,"ITGA2B"
"47","ENSG00000006007",2,"GDE1"
"48","ENSG00000006042",1,"TMEM98"
"49","ENSG00000006062",2,"MAP3K14"
"50","ENSG00000006071",1,"ABCC8"
"51","ENSG00000006118",1,"TMEM132A"
"52","ENSG00000006125",1,"AP2B1"
"53","ENSG00000006128",1,"TAC1"
"54","ENSG00000006210",5,"CX3CL1"
"55","ENSG00000006327",2,"TNFRSF12A"
"56","ENSG00000006451",8,"RALA"
"57","ENSG00000006453",2,"BAIAP2L1"
"58","ENSG00000006459",1,"KDM7A"
"59","ENSG00000006468",31,"ETV1"
"60","ENSG00000006530",2,"AGK"
"61","ENSG00000006607",2,"FARP2"
"62","ENSG00000006638",4,"TBXA2R"
"63","ENSG00000006652",1,"IFRD1"
"64","ENSG00000006704",1,"GTF2IRD1"
"65","ENSG00000006712",1,"PAF1"
"66","ENSG00000006715",1,"VPS41"
"67","ENSG00000006740",1,"ARHGAP44"
"68","ENSG00000006744",31,"ELAC2"
"69","ENSG00000006747",1,"SCIN"
"70","ENSG00000006831",3,"ADIPOR2"
"71","ENSG00000007047",1,"MARK4"
"72","ENSG00000007062",10,"PROM1"
"73","ENSG00000007129",1,"CEACAM21"
"74","ENSG00000007171",6,"NOS2"
"75","ENSG00000007202",1,"KIAA0100"
"76","ENSG00000007350",1,"TKTL1"
"77","ENSG00000007372",1,"PAX6"
"78","ENSG00000007392",1,"LUC7L"
"79","ENSG00000007402",2,"CACNA2D2"
"80","ENSG00000007516",1,"BAIAP3"
"81","ENSG00000007545",1,"CRAMP1"
"82","ENSG00000007952",2,"NOX1"
"83","ENSG00000007968",1,"E2F2"
"84","ENSG00000008056",1,"SYN1"
"85","ENSG00000008226",1,"DLEC1"
"86","ENSG00000008294",2,"SPAG9"
"87","ENSG00000008405",2,"CRY1"
"88","ENSG00000008438",1,"PGLYRP1"
"89","ENSG00000008441",1,"NFIX"
"90","ENSG00000008513",2,"ST3GAL1"
"91","ENSG00000008517",1,"IL32"
"92","ENSG00000008710",3,"PKD1"
"93","ENSG00000008838",2,"MED24"
"94","ENSG00000008952",1,"SEC62"
"95","ENSG00000008988",1,"RPS20"
"96","ENSG00000009307",2,"CSDE1"
"97","ENSG00000009335",2,"UBE3C"
"98","ENSG00000009724",1,"MASP2"
"99","ENSG00000009844",1,"VTA1"
"100","ENSG00000009950",2,"MLXIPL"
"101","ENSG00000010017",1,"RANBP9"
"102","ENSG00000010256",1,"UQCRC1"
"103","ENSG00000010278",5,"CD9"
"104","ENSG00000010671",1,"BTK"
"105","ENSG00000010704",1,"HFE"
"106","ENSG00000010810",4,"FYN"
"107","ENSG00000010818",1,"HIVEP2"
"108","ENSG00000011028",3,"MRC2"
"109","ENSG00000011105",1,"TSPAN9"
"110","ENSG00000011198",2,"ABHD5"
"111","ENSG00000011295",1,"TTC19"
"112","ENSG00000011304",1,"PTBP1"
"113","ENSG00000011332",1,"DPF1"
"114","ENSG00000011347",2,"SYT7"
"115","ENSG00000011405",1,"PIK3C2A"
"116","ENSG00000011422",18,"PLAUR"
"117","ENSG00000011454",1,"RABGAP1"
"118","ENSG00000011465",1,"DCN"
"119","ENSG00000011485",1,"PPP5C"
"120","ENSG00000012048",64,"BRCA1"
"121","ENSG00000012061",8,"ERCC1"
"122","ENSG00000012171",3,"SEMA3B"
"123","ENSG00000012223",2,"LTF"
"124","ENSG00000012504",2,"NR1H4"
"125","ENSG00000012779",5,"ALOX5"
"126","ENSG00000012817",6,"KDM5D"
"127","ENSG00000012822",1,"CALCOCO1"
"128","ENSG00000013016",1,"EHD3"
"129","ENSG00000013275",1,"PSMC4"
"130","ENSG00000013288",2,"MAN2B2"
"131","ENSG00000013297",1,"CLDN11"
"132","ENSG00000013364",1,"MVP"
"133","ENSG00000013503",1,"POLR3B"
"134","ENSG00000013561",8,"RNF14"
"135","ENSG00000013588",1,"GPRC5A"
"136","ENSG00000013810",2,"TACC3"
"137","ENSG00000014216",5,"CAPN1"
"138","ENSG00000014257",35,"ACPP"
"139","ENSG00000014641",2,"MDH1"
"140","ENSG00000014824",1,"SLC30A9"
"141","ENSG00000015171",1,"ZMYND11"
"142","ENSG00000015413",1,"DPEP1"
"143","ENSG00000015475",2,"BID"
"144","ENSG00000015479",2,"MATR3"
"145","ENSG00000015676",2,"NUDCD3"
"146","ENSG00000017260",2,"ATP2C1"
"147","ENSG00000017427",60,"IGF1"
"148","ENSG00000017797",4,"RALBP1"
"149","ENSG00000018236",2,"CNTN1"
"150","ENSG00000018408",4,"WWTR1"
"151","ENSG00000019144",1,"PHLDB1"
"152","ENSG00000019186",15,"CYP24A1"
"153","ENSG00000019549",13,"SNAI2"
"154","ENSG00000019582",3,"CD74"
"155","ENSG00000019991",18,"HGF"
"156","ENSG00000019995",1,"ZRANB1"
"157","ENSG00000020129",1,"NCDN"
"158","ENSG00000020256",1,"ZFP64"
"159","ENSG00000020633",2,"RUNX3"
"160","ENSG00000020922",2,"MRE11"
"161","ENSG00000021355",1,"SERPINB1"
"162","ENSG00000021461",5,"CYP3A43"
"163","ENSG00000021488",1,"SLC7A9"
"164","ENSG00000021762",1,"OSBPL5"
"165","ENSG00000021852",1,"C8B"
"166","ENSG00000022267",1,"FHL1"
"167","ENSG00000022277",1,"RTF2"
"168","ENSG00000022976",1,"ZNF839"
"169","ENSG00000023191",2,"RNH1"
"170","ENSG00000023228",1,"NDUFS1"
"171","ENSG00000023287",2,"RB1CC1"
"172","ENSG00000023330",1,"ALAS1"
"173","ENSG00000023445",3,"BIRC3"
"174","ENSG00000023839",2,"ABCC2"
"175","ENSG00000024048",1,"UBR2"
"176","ENSG00000024526",2,"DEPDC1"
"177","ENSG00000025156",1,"HSF2"
"178","ENSG00000025423",2,"HSD17B6"
